34KH863 300 100 50

1000085322 P N 0.2
1000255965 P N 0.2
1000511929 P N 0.2
1000853214 P N 0.3
1001279820 P N 0.5
1001791747 P N 0.3
1002388995 P N 0.1
1003071564 P N 0.3
1003839454 P N 0.4
1004692665 P N 0.2
1005631197 P N 0.4
1006655050 P N 0.3
1007764224 P N 0.1
1008958719 P N 0.4
1010238535 P N 0.1
1011603672 P N 0.5
1013054130 P N 0.1
1014589909 P N 0.5
1016211009 P N 0.3
1017917430 P N 0.1
1019709172 P N 0.4
1020333167 P T 0.2
1020986876 P T 0.4
1021670299 P T 0.4
1022383436 P T 0.1
1023126287 P T 0.3
1023898852 P T 0.5
1024701131 P T 0.2
1025533124 P T 0.5
1026394831 P T 0.2
1027286252 P T 0.4
1028207387 P T 0.4
1029158236 P T 0.3
1030138799 P T 0.1
1031149076 P T 0.3
1032685962 P S 0.4
1034266759 P S 0.1
1035891467 P S 0.1
1037560086 P S 0.1
1039272616 P S 0.3
1040806857 K N 1.0
1042379454 K N 1.5
1043990407 K N 0.7
1045639716 K N 1.1
1047327381 K N 0.6
1049053402 K N 0.6
1050817779 K N 1.4
1052620512 K N 1.5
1054461601 K N 0.8
1056341046 K N 1.5
1058258847 K N 1.2
1060215004 K N 1.1
1062209517 K N 1.4
1064242386 K N 1.1
1066313611 K N 1.3
1068423192 K N 1.5
1070571129 K N 1.5
1072757422 K N 1.1
1074982071 K N 1.3
1077245076 K N 1.0
1079546437 K N 0.8
1081886154 K N 1.1
1084264227 K N 1.2
1086680656 K N 0.6
1089135441 K N 1.0
1091628582 K N 0.9
1094728801 K T 0.7
1097875993 K T 1.2
1101070158 K T 1.2
1104311296 K T 1.5
1107599407 K T 1.3
1110414771 K S 1.3
1113269788 K S 1.5
1116164458 K S 0.7
1119098781 K S 0.6
1122072757 K S 1.0
1125086386 K S 1.3
1128139668 K S 0.7
1128779191 S N 0.3
1129426913 S N 0.8
1130082834 S N 0.6
1130746954 S N 0.5
1131419273 S N 0.8
1136279505 S T 0.9
1141198294 S T 0.71040642903 P N 0.1
1039813456 P N 0.3
1038992560 P N 0.2
1038180215 P N 0.5
1037376421 P N 0.2
1036581178 P N 0.4
1035794486 P N 0.1
1035016345 P N 0.1
1034246755 P N 0.1
1033485716 P N 0.1
1032733228 P N 0.1
1031989291 P N 0.3
1031253905 P N 0.1
1030527070 P N 0.3
1029808786 P N 0.4
1029099053 P N 0.4
1017786080 P N 0.3
1017238816 P N 0.1
