54BS239 250 150 70

1002163403 P N 0.4
1001975281 P N 0.5
1001795710 P N 0.3
1001624690 P N 0.5
1001462221 P N 0.2
1001308303 P N 0.4
1001162936 P N 0.2
1001026120 P N 0.2
1000897855 P N 0.1
1000778141 P N 0.4
1000666978 P N 0.3
1000564366 P N 0.4
1000470305 P N 0.5
1000384795 P N 0.1
1000307836 P N 0.3
1000239428 P N 0.4
1000179571 P N 0.1
1000128265 P N 0.1
1000085510 P N 0.3
1000051306 P N 0.4
1006336291 P N 0.4
1004514928 P N 0.2
1003471706 P N 0.2
1002779075 P N 0.2
1007362411 P N 0.5
1007011820 P N 0.4
1006669780 P N 0.1
1006011353 P N 0.5
1005694966 P N 0.4
1005387130 P N 0.3
1005087845 P N 0.1
1004797111 P N 0.4
1004241296 P N 0.5
1003976215 P N 0.5
1003719685 P N 0.5
1003232278 P N 0.1
1003001401 P N 0.1
1002565300 P N 0.2
1002360076 P N 0.3
1000025653 P N 0.5
1000008551 P N 0.3
1010055976 P N 0.3
1009645528 P N 0.4
1009243631 P N 0.1
1008850285 P N 0.1
1008465490 P N 0.3
1008089246 P N 0.1
1007721553 P N 0.4
1015135270 P N 0.4
1014630761 P N 0.5
1014134803 P N 0.2
1013647396 P N 0.3
1013168540 P N 0.2
1012698235 P N 0.4
1012236481 P N 0.5
1011783278 P N 0.2
1011338626 P N 0.3
1010902525 P N 0.3
1010474975 P N 0.1
1016700103 P N 0.1
1016169941 P N 0.3
1015648330 P N 0.2
